kind,id
美食,10
K歌,15
购物,20
电影,25
休闲娱乐,30
周边游,35
宴会,40
运动健身,45
丽人,50
结婚,55
酒店,60
爱车,65
亲子,70
学习培训,75
生活服务,80
医疗健康,85
家装,90
宠物,95
本帮江浙菜,101
川菜,102
粤菜,103
湘菜,104
贵州菜,105
东北菜,106
台湾菜,107
清真菜,108
素菜,109
火锅,110
自助餐,111
小吃快餐,112
日本菜,113
韩国料理,114
东南亚菜,115
西餐,116
面包甜点,117
其他,118
综合商场,119
服饰鞋包,120
运动户外,121
珠宝饰品,122
化妆品,123
数码产品,124
亲子购物,125
家居建材,126
书店,127
眼镜店,128
特色集市,129
品牌折扣店,130
更多购物场所,131
咖啡厅,132
酒吧,133
茶馆,134
KTV,135
电影院,136
游乐游艺,137
洗浴,140
足疗按摩,141
文化艺术,142
DIY手工坊,144
更多运动场馆,145
篮球场,146
健身中心,147
瑜伽,148
舞蹈,149
体育场馆,150
游泳馆,151
羽毛球馆,152
网球场,153
高尔夫场,154
保龄球馆,155
桌球馆,156
美发,157
美容/SPA,158
瘦身纤体,159
亲子游乐,161
婚纱礼服,162
婚纱摄影,163
司仪主持,164
婚宴,165
彩妆造型,166
婚庆公司,167
经济型,171
青年旅舍,172
度假村,173
更多酒店住宿,174
4S店/汽车销售,175
维修保养,176
配件/车饰,177
汽车租赁,178
驾校,179
停车场,180
医院,181
齿科,182
整形,183
食品茶酒,184
婚礼跟拍,185
婚车租赁,186
超市/便利店,187
幼儿教育,188
幼儿园,189
婚戒首饰,191
婚礼小商品,192
亲子摄影,193
家政,195
旅行社,197
蟹宴,203
面馆,215
药店,235
加油站,236
银行,237
江西菜,247
云南菜,248
海鲜,251
妇幼医院,257
孕产护理,258
汽车保险,259
教育院校,260
纹身,493
烧烤,508
体检中心,612
通信营业厅,835
房屋地产,836
公司企业,979
售票点,980
家常菜,1783
祛痘,2572
水果生鲜,2714
密室,2754
月子会所,2784
产后塑形,2790
中医养生,2827
洗车,2828
动植物园,2834
漂流,2838
外语培训,2872
音乐培训,2873
美术培训,2874
升学辅导,2876
职业技术,2877
兴趣生活,2878
更多教育培训,2882
商圈,2884
录音棚,2894
纹绣,2898
其他医疗,2912
中医,2914
水上娱乐,2916
展馆展览,2926
送水/送奶站,2928
搬家,2929
回收,2930
管道疏通,2932
开锁,2934
裁缝改衣,2974
电脑维修,2976
家电维修,2978
手机维修,2979
修鞋,2980
酒店宴会厅,3014
特色餐饮,3016
一站式会馆,3018
五星级/豪华型,3020
四星级/高档型,3022
三星级/舒适型,3024
厕所,3063
政府机构,3082
新疆菜,3243
快照/冲印,4607
温泉,5672
公寓式酒店,6693
桌面游戏,6694
个性写真,6700
武术场馆,6701
足球场,6702
壁球馆,6706
攀岩馆,6708
射箭馆,6709
马术场,6710
乒乓球馆,6712
溜冰场,6713
精品酒店,6714
交通,6823
建材,6826
厨房卫浴,6828
更多婚礼服务,6844
托班/托儿所,20009
汽车美容,20026
采摘/农家乐,20038
采摘/农家乐,20038
真人CS,20039
轰趴馆,20040
私人影院,20041
网吧网咖,20042
宠物店,25147
宠物医院,25148
婚房装修,25410
西服定制,25412
演出票务,25462
装修设计,25475
客栈旅舍,25842
花店,26085
办公/文化用品,26101
居家维修,26117
网站,26119
小区,26465
商务楼,26466
西北菜,26481
更多休闲娱乐,26490
更多生活服务,26491
早教中心,27761
幼儿外语,27762
幼儿才艺,27763
婴儿游泳,27767
更多亲子服务,27769
孕妇写真,27814
滑雪,27852
家具家居,32702
家装卖场,32704
家用电器,32705
货币兑换,32721
留学,32722
棋牌室,32732
免税店,32739
物流快递,32742
美甲美睫,33761
衣物/皮具洗护,33762
年检站,33763
交警队,33764
上门拍,33792
宝宝派对,33797
亲子玩乐,33803
亲子旅游,33808
游轮场地,33818
高端酒店,33830
景点,33831
旅游其他,33832
快捷酒店,33837
商务酒店,33838
主题酒店,33839
情侣酒店,33840
民宿,33841
度假酒店,33842
别墅,33843
VR,33857
