city,user_id,name,user_url,attention,register_time,sex,fans,contribution,inter
上海,20944611,远星四号,http://www.dianping.com/member/20944611,4,2012/2/10,woman,33,1905,137
上海,29975,伊伊@蔓淩,http://www.dianping.com/member/29975,160,2004/6/21,woman,53,1785,0
上海,353465380,Hahahahahalala,http://www.dianping.com/member/353465380,12,2015/2/6,,17,757,12
上海,2052284,依依不爱彼岸花,http://www.dianping.com/member/2052284,113,2008/1/20,woman,112,2440,360
上海,21850681,汐月汐,http://www.dianping.com/member/21850681,10,2012/3/11,woman,197,6602,1364
上海,9648672,pinamush,http://www.dianping.com/member/9648672,57,2011/4/30,woman,71,1270,147
上海,33140769,又琪又琪,http://www.dianping.com/member/33140769,37,2013/1/31,woman,3,439,22
上海,25498967,cindyzhu001,http://www.dianping.com/member/25498967,56,2012/7/15,woman,90,3698,501
上海,4435629,oreo2222,http://www.dianping.com/member/4435629,74,2009/8/17,woman,77,410,15
上海,3878336,费洛蒙之猜想,http://www.dianping.com/member/3878336,12,2009/4/16,man,145,5164,444
上海,1635576,xwy_xz,http://www.dianping.com/member/1635576,8,2007/4/11,woman,16,668,49
上海,6006939,嘿哈biubiubiu,http://www.dianping.com/member/6006939,7,2010/7/6,woman,19,584,148
上海,14362772,静静爱奶茶,http://www.dianping.com/member/14362772,3,2011/7/26,woman,17,2320,0
上海,2534637,言易,http://www.dianping.com/member/2534637,1,2008/7/2,woman,17,663,110
上海,61703784,精灵吃货猫,http://www.dianping.com/member/61703784,17,2014/5/14,woman,46,2766,9
上海,31663517,薇薇涟漪vv,http://www.dianping.com/member/31663517,0,2012/12/31,woman,3,88,1
上海,8586111,chloe_que,http://www.dianping.com/member/8586111,84,2011/3/14,woman,97,1169,305
上海,1119863,宝9966,http://www.dianping.com/member/1119863,52,2006/8/19,man,48,1194,96
上海,21619588,瓶中xiao鱼,http://www.dianping.com/member/21619588,25,2012/3/3,woman,35,1438,24
上海,109399896,Dora李尼美,http://www.dianping.com/member/109399896,109,2014/7/26,,111,297,89
上海,774108004,食客小主,http://www.dianping.com/member/774108004,140,2015/4/30,woman,140,1038,292
上海,13214258,休闲修仙,http://www.dianping.com/member/13214258,4,2011/6/25,man,23,507,57
上海,2225717,show公主,http://www.dianping.com/member/2225717,25,2008/5/1,woman,36,453,42
上海,1029493,ishucagy,http://www.dianping.com/member/1029493,63,2006/7/24,woman,232,3094,142
上海,3531633,黄小贱不纯洁,http://www.dianping.com/member/3531633,113,2009/1/5,woman,89,1374,90
上海,937513242,嗲的不是两点点,http://www.dianping.com/member/937513242,4,2016/3/23,woman,7,670,45
上海,6351853,hamhamstar,http://www.dianping.com/member/6351853,66,2010/8/26,woman,18,244,9
上海,5155438,dd_car,http://www.dianping.com/member/5155438,2,2009/12/31,man,20,2428,292
上海,7672083,漫漫的鱼仔,http://www.dianping.com/member/7672083,544,2011/1/5,woman,501,9421,1920
上海,6745154,蛇夫座珠玉,http://www.dianping.com/member/6745154,542,2010/9/30,woman,463,5938,3408
上海,6278294,一朵小尘埃.,http://www.dianping.com/member/6278294,38,2010/8/18,woman,18,1160,0
上海,71513472,V优格V,http://www.dianping.com/member/71513472,1,2014/6/2,,2,222,55
上海,48715945,妍酱丶baby,http://www.dianping.com/member/48715945,94,2013/12/8,woman,196,426,205
上海,3499879,黑哥们,http://www.dianping.com/member/3499879,73517,2008/12/26,man,5149,6639,52317
上海,813540605,言者木乔,http://www.dianping.com/member/813540605,590,2015/8/14,woman,126,3782,7981
上海,2113446,Shan_2008,http://www.dianping.com/member/2113446,366,2008/3/12,woman,250,2763,161
上海,959611576,A崇迪A,http://www.dianping.com/member/959611576,63,2016/4/14,man,716,6767,1343
上海,20613097,Niiikkkiii,http://www.dianping.com/member/20613097,263,2012/1/25,woman,117,789,172
上海,4416452,M吃吃走走,http://www.dianping.com/member/4416452,2,2009/8/12,woman,4,1788,1
上海,25621519,华华就是想要吃好吃的,http://www.dianping.com/member/25621519,7,2012/7/19,woman,46,2877,31
上海,13186251,打酱油的小主,http://www.dianping.com/member/13186251,26,2011/6/24,woman,64,5238,435
上海,6241415,真太闲,http://www.dianping.com/member/6241415,66,2010/8/12,woman,88,3832,363
上海,26798324,咖喱洋山芋_7,http://www.dianping.com/member/26798324,15,2012/8/21,woman,14,252,22
上海,832002663,OYY奋斗吧！,http://www.dianping.com/member/832002663,109,2015/10/3,,102,873,124
上海,13381846,RITSZ覃,http://www.dianping.com/member/13381846,94,2011/6/28,woman,95,357,11
上海,18379375,无所不能的喵大人,http://www.dianping.com/member/18379375,40,2011/11/15,,40,274,14
上海,5928854,mmm0624,http://www.dianping.com/member/5928854,44,2010/6/21,woman,40,1375,89
上海,56733265,托马斯的主人,http://www.dianping.com/member/56733265,104,2014/4/5,man,110,750,54
上海,6715895,冬眠0106,http://www.dianping.com/member/6715895,7,2010/9/27,woman,17,1141,15
上海,285537,K11L,http://www.dianping.com/member/285537,72,2005/7/15,man,91,1325,88
上海,1310272,ivy-1288,http://www.dianping.com/member/1310272,0,2006/10/22,woman,1,1141,28
上海,2231432,HQK,http://www.dianping.com/member/2231432,465,2008/5/4,man,103,1088,107
上海,3727317,欧德11,http://www.dianping.com/member/3727317,34,2009/3/5,woman,29,1118,49
上海,15067417,LesPire,http://www.dianping.com/member/15067417,86,2011/8/16,man,90,716,73
上海,5669419,潇湘君子,http://www.dianping.com/member/5669419,38,2010/4/26,woman,57,1008,59
