kind,id
私房菜,10/g1338
北京菜,10/g311
家常菜,10/g1783
台湾菜,10/g107
鲁菜,10/g26483
川菜,10/g102
俄罗斯菜,10/g1845
湘菜,10/g104
湖北菜,10/g246
徽菜,10/g26482
江浙菜,10/g101
粉面馆,10/g1817
粤菜,10/g103
创意菜,10/g250
东北菜,10/g106
清真菜,10/g108
咖啡厅,10/g132
新疆菜,10/g3243
烧烤,10/g508
西北菜,10/g26481
云南菜,10/g248
贵州菜,10/g105
素菜,10/g109
火锅,10/g110
海鲜,10/g251
小吃快餐,10/g112
日本菜,10/g113
韩国料理,10/g114
东南亚菜,10/g115
西餐,10/g116
自助餐,10/g111
面包甜点,10/g117
其他,10/g118
VR,30/g33857
咖啡厅,30/g132
酒吧,30/g133
KTV,30/g135
茶馆,30/g134
采摘/农家乐,30/g20038
私人影院,30/g20041
文化艺术,30/g142
真人CS,30/g20039
轰趴馆,30/g20040
中医养生,30/g2827
足疗按摩,30/g141
洗浴,30/g140
DIY手工坊,30/g144
网吧网咖,30/g20042
棋牌室,30/g32732
游乐游艺,30/g137
密室,30/g2754
台球馆,30/g156
桌面游戏,30/g6694
更多休闲娱乐,30/g26490
景点,35/g33831
旅游其他,35/g33832
温泉,35/g5672
滑雪,35/g27852
采摘/农家乐,35/g20038
展馆展览,35/g2926
动植物园,35/g2834
水上娱乐,35/g2916
水果生鲜,20/g2714
综合商场,20/g119
食品茶酒,20/g184
京味儿购物,20/g32696
超市/便利店,20/g187
服饰鞋包,20/g120
珠宝饰品,20/g122
药店,20/g235
办公/文化用品,20/g26101
化妆品,20/g123
运动户外,20/g121
亲子购物,20/g125
品牌折扣店,20/g130
数码产品,20/g124
家居建材,20/g126
特色集市,20/g129
花店,20/g26085
书店,20/g127
眼镜店,20/g128
更多购物场所,20/g131
祛痘,50/g2572
美甲美睫,50/g33761
美发,50/g157
美容/SPA,50/g158
化妆品,50/g123
瘦身纤体,50/g159
整形,50/g183
纹绣,50/g2898
瑜伽,50/g148
舞蹈,50/g149
产后塑形,50/g2790
纹身,50/g493
婚纱摄影,55/g163
婚宴,55/g165
婚戒首饰,55/g191
婚纱礼服,55/g162
婚庆公司,55/g167
彩妆造型,55/g166
个性写真,55/g6700
司仪主持,55/g164
婚礼跟拍,55/g185
婚车租赁,55/g186
婚房装修,55/g25410
更多婚礼服务,55/g6844
西服定制,55/g25412
婚礼小商品,55/g192
托班/托儿所,70/g20009
上门拍,70/g33792
宝宝派对,70/g33797
亲子玩乐,70/g33803
亲子旅游,70/g33808
幼儿教育,70/g188
幼儿园,70/g189
早教中心,70/g27761
亲子摄影,70/g193
幼儿外语,70/g27762
婴儿游泳,70/g27767
亲子游乐,70/g161
月子会所,70/g2784
幼儿才艺,70/g27763
亲子购物,70/g125
孕妇写真,70/g27814
孕产护理,70/g258
更多亲子服务,70/g27769
装修设计,90/g25475
建材,90/g6826
厨房卫浴,90/g6828
家具家居,90/g32702
家装卖场,90/g32704
家用电器,90/g32705
健身中心,45/g147
壁球馆,45/g6706
游泳馆,45/g151
攀岩馆,45/g6708
马术场,45/g6710
射箭馆,45/g6709
羽毛球馆,45/g152
乒乓球馆,45/g6712
溜冰场,45/g6713
瑜伽,45/g148
网球场,45/g153
舞蹈,45/g149
漂流,45/g2838
篮球场,45/g146
足球场,45/g6702
高尔夫场,45/g154
保龄球馆,45/g155
滑雪,45/g27852
台球馆,45/g156
武术场馆,45/g6701
体育场馆,45/g150
更多运动场馆,45/g145
外语培训,75/g2872
音乐培训,75/g2873
职业技术,75/g2877
升学辅导,75/g2876
驾校,75/g179
美术培训,75/g2874
留学,75/g32722
兴趣生活,75/g2878
教育院校,75/g260
更多教育培训,75/g2882
高端酒店,60/g33830
快捷酒店,60/g33837
商务酒店,60/g33838
主题酒店,60/g33839
情侣酒店,60/g33840
民宿,60/g33841
度假酒店,60/g33842
别墅,60/g33843
五星级/豪华型,60/g3020
四星级/高档型,60/g3022
三星级/舒适型,60/g3024
经济型,60/g171
公寓式酒店,60/g6693
精品酒店,60/g6714
度假村,60/g173
农家院,60/g6858
青年旅舍,60/g172
客栈旅舍,60/g25842
更多酒店住宿,60/g174
年检站,65/g33763
交警队,65/g33764
4S店/汽车销售,65/g175
洗车,65/g2828
维修保养,65/g176
配件/车饰,65/g177
汽车保险,65/g259
汽车租赁,65/g178
加油站,65/g236
停车场,65/g180
汽车美容,65/g20026
衣物/皮具洗护,80/g33762
旅行社,80/g197
医院,80/g181
厕所,80/g3063
演出票务,80/g25462
送水/送奶站,80/g2928
搬家,80/g2929
回收,80/g2930
管道疏通,80/g2932
开锁,80/g2934
体检中心,80/g612
裁缝改衣,80/g2974
电脑维修,80/g2976
家电维修,80/g2978
手机维修,80/g2979
修鞋,80/g2980
政府机构,80/g3082
物流快递,80/g32742
居家维修,80/g26117
商圈,80/g2884
快照/冲印,80/g4607
交通,80/g6823
通信营业厅,80/g835
房屋地产,80/g836
家政,80/g195
公司企业,80/g979
售票点,80/g980
网站,80/g26119
银行,80/g237
小区,80/g26465
商务楼,80/g26466
更多生活服务,80/g26491
医院,85/g181
中医,85/g2914
齿科,85/g182
药店,85/g235
体检中心,85/g612
整形,85/g183
妇幼医院,85/g257
宠物医院,85/g25148
其他医疗,85/g2912
宠物店,95/g25147
宠物医院,95/g25148
KTV,15/g135
录音棚,15/g2894
电影院,25/g136
酒店宴会厅,40/g3014
特色餐饮,40/g3016
一站式会馆,40/g3018
