book_time,book_name,book_chinese,book_author,book_content,book_source,book_size,book_url,book_intro,book_type,book_format,book_download_url,book_id,book_zip_pswd
,阿甘正传,,温斯顿·葛鲁姆,,,,https://www.cnepub.com/2,"　　阿甘是常人眼中的弱智和白痴，但他天性善良单纯，加上天赋异禀，使他先后成为大学美式足球明星、越战英雄、世界级乒乓球运动员、摔跤选手、国际象棋大师和商业大亨，既获得肯尼迪总统的接见，约翰逊总统的授勋，甚至还无意间发现了水门事件的真相！阿甘“轰轰烈烈”的传奇一生，看似茺诞不经，其实正是五十年代到七十年代美国历史与社会的缩影，透过阿甘的眼睛，也让我们看到了世态的险恶复杂与庸俗市侩，而更觉人性真诚的可贵。,　　小说语言平易而风趣，阿甘的人生感悟更是充满了哲理意味，实在值得自以为是的世人深思。",外国小说,,https://www.cnepub.com/2,2,
,克里姆林宫的枢机主教,,汤姆·克兰西,,,,https://www.cnepub.com/5,美苏战略核武竞技愈演愈烈，全球陷入毁灭性战争的恐惧中；苏联更积极于阿富汗边境秘密研发攻击性雷射武器。正当美苏限武谈判进行得如火如荼时，美方在苏联卧底的最高级间谍「红衣主教」的身分却曝光了！杰克．雷恩将如何营救「红衣主教」，消弭一场大战？,外国小说,,https://www.cnepub.com/5,5,
,猎杀红十月号,,汤姆·克兰西,,,,https://www.cnepub.com/8,苏联一艘装有新型无声推进系统的战略弹道导弹核潜艇“红十月”号，在艇长拉米斯的策划下，利用演习，突然叛逃美国。为了不让这艘价值数亿万美元的新式巨型核潜艇落入美国手中，苏联出动近百艘舰艇前往大西洋搜寻堵截，一旦发现，立即击沉。这一情报被美国间谍获取。于是美国动员了全部力量，并请英国皇家海军协助搜寻“红十月”号。美国中央情报局、海军和白宫还一起策划了一个骗局：诱使苏联认为这艘核潜艇已经在一次核事故中炸毁沉没，而实际上是美国炸掉了一艘自己的旧潜艇。为了达到各自的目的，双方不惜冒直接冲突的危险，在大西洋上进行角逐。一时，北大西洋紧张局势达到了临界点…… ,外国小说,,https://www.cnepub.com/8,8,
,红色风暴,,汤姆.克兰西,,,,https://www.cnepub.com/4,"回教恐怖分子摧毁了苏联最大的石油化工厂，他们以为自己正为""自由""打出一条通路，却不知已为第三次世界大战揭开序幕。这是一部光芒四射的军事幻想曲，布局紧奏，气势宏伟，令人爱不释手。",外国小说,,https://www.cnepub.com/4,4,
,士兵突击,,兰晓龙,,,,https://www.cnepub.com/25,"　　这真的不是一部小说，它是哲学、是人生，是我们成长的历史。每一位读者都能在许三多身上找到自己的一些影子。许多三像是两个人，可根子里的他还是让你佩服、让你回味，甚至是他的“傻”，也足以让你去喜欢。你会觉得：“一本好书，能教会你怎样做人！”,　　金戈铁马，斗志男儿，士兵的精神世界丰富和冷峻；一个有着性格缺点的普通农村孩子，他单纯而执着，在军人的世界里跌打滚爬。因为他的笨，让全人受累；因为他的认真，让全连队为之感动；因为他的执着，让全营战士为之骄傲。,　　虽然他的家乡祖屋在爆炸声中变成一堆瓦砾，却无法阻止他坚毅的军人步伐；善良的怜悯，并未使他忘记军人的职责，枪杀毒犯……他在种种困厄和磨难中百炼成钢。,　　他的名字叫——许三多。",军事,,https://www.cnepub.com/25,25,
,藏地密码,,何马,,,,https://www.cnepub.com/33,"　　实体书精校全本。,　　这是一个西藏已经开放为全世界的旅游胜地却依旧守口如瓶的秘密——公元838年，吐蕃末代赞普朗达玛登位，随即宣布禁佛。在那次禁佛运动中，僧侣们提前将大量经典和圣物埋藏起来，随后将其秘密转移至一个隐秘的地方，他们在那里修建了神庙，称为帕巴拉神庙。随着时光流逝，战火不断，那座隐藏着无尽佛家珍宝的神庙彻底消失于历史尘埃之中……,　　1938年和1943年，希特勒曾派助手希姆莱两次带队深入西藏；在新中国成立之初，斯大林曾派苏联专家团前后五次考察西藏，他们的秘密行动意味深远，没有人知道他们的真实目的。多年之后，身在美国宾夕法尼亚州的藏獒专家卓木强巴突然收到一个陌生人送来的信封，信封里装着两张照片，照片上惊现的远古神兽，促使卓木强巴及导师、世界犬类学专家方新教授亲赴西藏。他们在调查过程中震惊地发现，照片上的动物竟然和帕巴拉神庙有关……不久之后，一支由特种兵、考古学家、生物学家、密修高手等各色人物组成的神秘科考队，悄悄从西藏出发，开始了一场穿越全球生死禁地的探险之旅，他们要追寻藏传佛教千年隐秘历史的真相……西藏，到底向我们隐瞒了什么？！止唯一一部追寻藏传佛教及西藏千年隐秘历史真相的探险巨着。千百年来，西藏一直被一种神圣而又神秘的氛围所笼罩，接受着全世界范围内对其怀有向往之心的人们的虔诚仰望。即使在西藏已经开放为全世界的旅游胜地，不可避免地成为大众谈资、文化符号的今天，我们依然对这片土地的历史知之甚少。这本姗姗来迟的探险小说，用一种通俗易懂的语言，为我们讲述了西藏这一千年来最隐秘的故事。,　　为什么丛林中原始部落的祭祀方式与西藏民间的祭祀方式如此神似？通往圣地香巴拉的秘密通道是否就在布达拉宫的下面？在西藏的大量历史文献中隐藏着的那座帕巴拉神庙是否真的存在？比藏獒更凶狠的动物是什么？",恐怖·悬疑,,https://www.cnepub.com/33,33,
,圣经（中英双语版）,,无,,,,https://www.cnepub.com/35,《圣经》（拉丁语：Biblia，希伯来语：ביבליה‎，本意为莎草纸）可以指犹太教和基督教（包括天主教、东正教和新教）的宗教经典。犹太教的宗教经典是指《塔纳赫》（或称《希伯来圣经》），而基督教的则指《旧约圣经》和《新约圣经》两部分。其中，《塔纳赫》是犹太教的经典，记载关于上帝和古时犹太人的历史及传说。《塔纳赫》亦同时是基督教圣经的《旧约》部分。而《希伯来圣经》记载的是从上帝创造世界，人类犯罪，犹太人的历史及关于世界的预言。,宗教,,https://www.cnepub.com/35,35,
,宠物公墓,,斯蒂芬·金,,,,https://www.cnepub.com/56,"斯蒂芬·金创作于八十年代的一部经典作品。一度被认为是其作品中最恐怖的一部，曾被搬上银幕。,在缅因州拉德洛镇的一片密林深处，有一个密克马克部落的坟场。古老而神秘的印第安人传说代代相传：那里有食人的幽灵，还有一种起死回生的魔力。孩子们把他们死于非命的宠物埋葬在那里，期待着宠物归来……,克利德医生家的屋后有条小径，那路通往山上的密林，也通往一个邪恶的传说。邻居乍得对初来乍到的这一家关照有加却又欲言又止，只是一再提醒：看好你们的孩子，留神你家的猫。但小猫还是离奇毙命。在乍得的怂恿下，克利德鬼使神差地将它埋于那片坟场——古老传说再现，某夜，小猫带着一身泥腥恶臭又回来了，眼中闪烁着邪气。不幸终究还是发生：克利德的小儿子命丧车轮，一家人的心理防线彻底崩溃，往昔的心理阴影被残忍地唤醒。在邪恶魔力的感召下，密林深处，一幕难以置信、超乎人伦的悲剧上演了……",科幻小说,,https://www.cnepub.com/56,56,
,傲慢与偏见,,【英】简·奥斯汀,,,,https://www.cnepub.com/67,　　《傲慢与偏见》是简·奥斯汀的代表作。这部作品以日常生活为素材，一反当时社会上流行的感伤小说的内容和矫揉造作的写作方法，生动地反映了18世纪末到19世纪初处于保守和闭塞状态下的英国乡镇生活和世态人情。这部社会风情画式的小说不仅在当时吸引着广大的读者，时至今日，仍给读者以独特的艺术享受。 也有根据书本改编的电影。,文学名著,,https://www.cnepub.com/67,67,
,呼啸山庄,,[英] 艾米莉·勃朗特,,,,https://www.cnepub.com/69,"　　《呼啸山庄》是英国女作家勃朗特姐妹之一艾米莉·勃朗特的作品。小说描写吉卜赛弃儿希斯克利夫被山庄老主人收养后，因受辱和恋爱不遂，外出致富，回来后对与其女友凯瑟琳结婚的地主林顿及其子女进行报复的故事。全篇充满强烈的反压迫、争幸福的斗争精神，又始终笼罩着离奇、紧张的浪漫气氛。它开始曾被人看做是年青女作家脱离现实的天真幻想，但结合其所描写地区激烈的阶级斗争和英国的社会现象，它不久便被评论界高度肯定，并受到读者的热烈欢迎。根据这部小说改编的影视作品至今久演不衰。,　　这是一个爱情和复仇的故事。呼啸山庄的主人，乡绅欧肖先生带回来了一个身份不明的孩子，取名希斯克利夫，他夺取了主人对小主人亨德雷和他的妹妹凯瑟琳的宠爱。主人死后，亨德雷为报复把希斯克利夫贬为奴仆，并百般迫害，可是凯瑟琳跟他亲密无间，青梅竹马。后来，凯瑟琳受外界影响，改而爱上了画眉田庄的文静青年埃德加。希斯克利夫愤而出走，三年后致富回乡，凯瑟琳已嫁埃德加。希斯克利夫为此进行疯狂的报复，通过赌博夺走了亨德雷的家财。亨德雷本人酒醉而死，儿子哈里顿成了奴仆。他还故意娶了埃德加的妹妹伊莎贝拉，进行迫害。内心痛苦不堪的凯瑟琳在生产中死去。十年后，希斯克利夫又施计使埃德加的女儿小凯瑟琳，嫁给了自己即将死去的儿子小林顿。埃德加和小林顿都死了，希斯克利夫最终把埃德加家的财产也据为己有。复仇得逞了，但是他无法从对死去的凯瑟琳的恋情中解脱出来，最终不吃不喝苦恋而死。小凯瑟琳和哈里顿继承了山庄和田庄的产业，两人终于相爱，去画眉田庄安了家。小说在现实生活的真实反映中表现出了浓厚的浪漫主义色彩。",文学名著,,https://www.cnepub.com/69,69,
,陈赓,,邓力群,,,,https://www.cnepub.com/112,"时代赋予的宏伟的历史使命，落在亿万中国人民的肩上。无论是民主主义革命，还是社会主义革命和社会主义建设，自然都是广大的人民群众的事业，都是必须依靠全中国人民的共同智慧和努力才得以实现的宏图大业。也正是在这种人民群众为主体的创造历史的活动中，才涌现了一大批反映群众需求、体现群众意志、凝聚群众智慧的杰出代表。如同历史上一切重大变革的时代一样，二十世纪的中国，是一个风云际会、英杰辈出的时代。正是伟大的时代造就出灿若群星的历史伟人；也正是历史伟人们坚苦卓绝的奋斗历程和忘我建树的光辉业绩，才是充分地体现着潮流之所趋、人心之所向，才最深刻最生动地反映着奔腾前进的伟大时代。他们一生的业绩，恰恰构成了从旧中国到新中国这一旷古未有的历史性大变革的缩影。正因为这样，修撰作为中华人民共和国缔造的一代杰出历史人物的传记，其意义自是远远超越记述个人身世的范围。这套传记丛书，无疑应当看作是，当代中国千百万爱国志士、革命先驱的杰出代表用毕生的血和汗谱写出的挽救祖国、振兴中华的可歌可泣的历史画卷，它将是永远矗立于世世代代人民心中的革命丰碑。《当代中国人物传记》丛书中的每一部传记，都可读作当代中国的救国史，中华人民共和国的开国史、建国史；每一部传记都可读作结束中国苦难危亡命运的革命史，披荆斩棘建设社会主义的奠基史、创业史。,    《当代中国人物传记》丛书，首批编撰的是中华人民共和国建国时期的开国元勋和各方面的最杰出人士的传记。这批传记的主人公将包括：党和国家的主要领导人、人民军队中功勋卓著的元帅、参与新中国创建大业的各民主党派的领导人和各方面的著名爱国人士、贡献突出的著名科学家、文学家和艺术家，以及为中国民主革命事业和社会主义事业做出重大贡献的国际主义战士，等等。毫无疑问，他们既是当代中国最卓越的代表，同时也是彪炳千秋青史的历史巨人。当然，如同一切历史人物一样，我们时代的杰出代表也不可能不受到历史条件的限制，也必然会具有这样那样的弱点、短处，一生中也不免会发生这样那样的某些过失。但是，所有这些，当如日月之蚀，堂堂正正公之于众亦无损于他们形象的光辉。他们为中华民族创建的功业，他们的革命精神、高尚情操，他们的鸿才睿智、嘉言懿行，无不震古铄今，垂范后世。这是中华民族一份永远值得倍加珍摄的宝贵精神财富。它必将成为培育一代又一代中华儿女爱国主义精神和社会主义信念的最好教材。,    现在，中国人民正按照邓小平同志的宏伟设计，在江泽民同志为核心的党中央的领导下，为实现社会主义现代化的第二战略目标，为本世纪达到小康水平，而努力奋斗。愿人们从这部《当代中国人物传记》丛书中，以这些历史人物的光辉业绩为典范，学习他们的革命献身精神、爱国主义情操和坚定的社会主义信念，为中华民族的历史伟业做出更大的贡献。,    由当代中国出版社出版的《陈赓传》反映了陈赓同志波澜壮阔的人生历程，为人们学习弘扬陈赓同志的革命精神、继承陈赓同志遗志提供了一部生动教材。",热门连载,,https://www.cnepub.com/112,112,
,黄克诚传,,胡献芬,,,,https://www.cnepub.com/111,"黄克诚在逝世前几年中对他自己的一生经历作了详细回忆，当时他双目已近失明，因此由克诚讲述，夫人唐棣华和他的子女们忠实地记录整理。文内所述之事，都是黄克诚自己说的，因此人民出版社选用《黄克诚自述》作为书名，很是得体。 ,《黄克诚自述》自1994年10月出版，重印三次，在社会各界产生较大影响。书中部分内容被收人中央军委审定的《黄克诚军事文选》。本次再版，我们在原“自述”的基础上，增补了三篇谈话和一些历史图片。三篇谈话均出自黄克诚口述。一篇是他1959年在庐山会议的发言，另外两篇是他20世纪80年代关于毛泽东和林彪评价问题的两次谈话。三篇谈话均选自《黄克诚军事文选》，我们对文字进行了校订。历史图片均由黄克诚子女提供。再版后的《黄克诚自述》，可以帮助读者更全面了解这位无产阶级革命家、军事家的不平凡经历和为党做出的伟大贡献，更深刻体味他那博大胸怀和一贯坚持的求真务实精神。",中国人物传记,,https://www.cnepub.com/111,111,
,论语心得,,于丹,,,,https://www.cnepub.com/121,《于丹论语心得》全书以白话诠释经典，以经典诠释智慧，以智慧诠释人生，以人生诠释人性，以人性安顿人心，体悟经典的普适智慧。《论语》，流传2500多年，影响世代中国人，它的经典语句，每一个中国人耳熟能详。《论语》的真谛，就是告诉大家。怎么样才能过上我们心灵所需要的那种快乐的生活。北京师范大学于丹教授紧扣21世纪人类面临的心灵困惑，结合其深厚的古典修养，运用女性特有的细腻情感，从中国人的宇宙观、心灵观、处世之道、交友之道、人格修养之道、理想和人生观等七个方面，从独特的个性视角出发来解读《论语》。,现代·当代,,https://www.cnepub.com/121,121,
,银河系漫游指南（银河系搭车客指南）,,[英] 道格拉斯·亚当斯,,,,https://www.cnepub.com/123,"地球被毁灭了，因为要在它所在的地方修建一条超空间快速通道。主人公阿瑟·邓特活下来了，因为他有一位名叫福特·长官的朋友。这位朋友表面上是个找不着工作的演员，其实是个外星人，是名著《银河系漫游指南》派赴地球的研究员。两人开始了一场穿越银河的冒险，能够帮助他们的只有《银河系漫游指南》一书中所包括的无限智慧。,旅途中，他们遇上了一批非常有趣的同伴：,赞福德·毕博布鲁克斯：长着两个头、三条胳膊的银河大盗，他的另一个身份是银河帝国总统。,崔莉恩：赞福德的同伙，除阿瑟·邓特之外惟一一个幸存下来的地球人。事实上，阿瑟从前认识崔莉恩，而且曾经试图勾搭人家，可惜没有成功。,马文：天才机器人，疑心病极其重，极其沮丧，极其唠叨。,这些人物结成一个小团队，他们将揭开一个骇人听闻的大秘密……",科幻小说,,https://www.cnepub.com/123,123,
,生命中不能承受之轻,,米兰·昆德拉,,,,https://www.cnepub.com/132,"《生命中不能承受之轻[1]》——Unbearable Lightness of Being, by Milan Kundera (1929-)，描述了１９６８年苏联入侵捷克时期，民主改革的气息演变成专横压榨之风潮，普通知识分子命运多舛的复杂故事。作品剖示隐密的无情，探讨爱的真谛，涵盖了男女之爱、朋友之爱、祖国之爱。在任何欲望之下，每个人对于各类型的爱皆有自由抉择的权利，自应负起诚恳执著的义务。人生责任是一个沉重的负担，却也是最真切实在的，解脱了负担，人变得比大地还年轻，以真而非，一切将变得毫无意义。 　　《生命中不能承受之轻》，全世界公认最受欢迎的畅销书，昆德拉最受欢迎并获得好评最多的作品，也是昆德拉的才华得到集中体现的一部作品。这是一部哲学小说，共有八章：第一章《轻与重》；第二章《灵与肉》；第三章《误解的词》；第四章《灵与肉》；第五章《轻与重》；第六章《伟大的进军》；第七章《卡列宁的微笑》。 　　看得出来，昆德拉从一两个关键词，如“轻与重”、“灵与肉”等，以及基本情境出发构成了小说的人物与情节。当然，人物不过是哲学中的代码，情节也不过是哲学中的情境。小说的主要人物有四个：托马斯、特丽莎、萨宾娜、弗兰茨。昆德拉在书中提出轻、重、灵、肉、记忆、虚弱、眩晕、牧歌、天堂等一系列的生存暗码，并与人物一一对应，支撑起各自的生存状态，展现了心灵与肉体的两重性。而每个关键词都是人物不同可能性的侧面。可能性是与一次性相抗争的最积极的方式，因而此书可视为对自以为是的“绝对”的瓦解。而生命由于缺乏绝对的意义，变得没有依凭与支撑，甚至不如随风飞舞的羽毛那样有确定的方向。 　　他以一个哲人的睿智将人类的生存情景加以考虑、审查和描述；有此成功地把握了政治与性爱两个敏感领域，并初步形成了“幽默”与“复调”的小说风格。",文学名著,,https://www.cnepub.com/132,132,
,人性的弱点,,戴尔·卡耐基,,,,https://www.cnepub.com/136,"　　本书是当今世界最伟大的成功学家——卡耐基的思想精华和最激动人心的内容。他以对人性的深刻洞见，利用大量普通人不断努力取得成功的故事，激励人们取得辉煌的成功。不论你是什么职业、性别、年龄，这部充满力量、充满智慧的书，在生活中一定会给你启迪，使你勇敢地克服自己的弱点，发挥自己的优点，成为人际交往的高手，拥有美好、快乐、成功的人生！,　　人从来就不是一种完美的动物，你克服自身的弱点越多，你拥有的优点也越多；人从来就不是一种个体动物，你懂得人际交往的技巧越多，你生存发展的天地也就越广阔。了解“人性的弱点”，你就获得了成功所必备的另外85%的能力。一个成功的人，一定是一个口碑良好，善于与人合作的人，也一定是个深谙“人性弱点”的大智大成者。正所谓：世事洞明皆学问，做事要求先做人！",生活·励志,,https://www.cnepub.com/136,136,
,狼群,,刺血,,,,https://www.cnepub.com/145,"　　在一次暑期的度假旅游中，大学生刑天意外遭到劫持。凭借天生的战斗能力和丰富的军事知识，刑天成功躲过被猎杀的命运，也因此被国际知名的雇佣军组织狼群相中，开始了他的雇佣兵生涯。战争无情，兄弟有义，在血腥、死亡、远离亲人的孤独感的包围下，深厚的兄弟情怀成了他最大的精神慰藉。然而，当接到的下一个任务、是狙杀昔日在同一战壕并肩作战的好友时，刑天第一次陷入了巨大的精神恐惧。在死亡的考验已能从容应付时，心灵的拷问又将如何去面对？……,　　该书以主人公刑天第一人称视角描写了雇佣兵团----狼群，在世界各地的战斗故事以及最终的毁灭，刻画了一群悍不畏死的雇佣兵，赞美了当今社会中最缺少的兄弟情谊。本书战争场面真实，军备知识丰富，心理描写震撼，人物与故事情节配合浑然天成，涉及的场景从雪原至城市无所不包。语言简练而富有张力，让人在心灵的震动之中逐渐领略到什么是真正的军人，什么是真正的兄弟，什么是真正的顶天立地的男人。堪称一部幻想军事文学的巅峰之作，也引领了军事文学的可读性时代。",军事,,https://www.cnepub.com/145,145,
,隔婚有眼,,暖冰,,,,https://www.cnepub.com/148,"　　一个查找不到的电话号码，一个婚礼录像上遍寻不见的身影，难道在婚礼上所看到的真是鬼影？同学发来的“小纸条”，让人惊恐发现，婚礼上的那名女子数月前已香消玉陨。恐惧弥漫在孟子晴周围……,　　是谁策划了这离奇恐怖的计划？是谁以爱为名进行着伤害？真相的背后另有真相……",恐怖·悬疑,,https://www.cnepub.com/148,148,
,鬼吹灯（合集）,,本物天下霸唱,,,,https://www.cnepub.com/162,"　　全集包括：,　　《鬼吹灯之精绝古城》,　　《鬼吹灯之龙岭迷窟》,　　《鬼吹灯之云南虫谷》,　　《鬼吹灯之昆仑神宫》,　　《鬼吹灯Ⅱ黄皮子坟》,　　《鬼吹灯Ⅱ之二南海归墟》,　　《鬼吹灯Ⅱ之三怒晴湘西》,　　《鬼吹灯Ⅱ之四巫峡棺山》,　　盗墓者的经历。作者天下霸唱，原名张牧野，就是这样一个系列形式的文字冒险故事，三位当代“摸金校尉”（盗墓贼），利用风水秘术，解读天下大山大川的脉搏，寻找那些失落在大地上的一处处龙楼宝殿，沙漠、雪山、森林、峡谷、急流、草原、鲜为人知的神秘动植物，危机四伏的陷阱，步步惊心，环环紧扣，超越极限与想象力的挑战，在离奇诡异的地下世界中，揭开一层层远古的神秘面纱，故事由一本主人公家中传下来的秘书残卷为引，纵横天下千里寻龙，历尽艰难险阻，毕竟那些龙形虎藏、揭天拔地、倒海翻江的举动，都迥异庸俗，昆仑山大冰川下的九层妖楼，中蒙边境野人沟中的关东军秘密要塞，消失在塔克拉玛干黑沙漠中的精绝古城，神山无底洞中的尸香魔芋花，云南丛林中的虫谷妖棺，西藏喀喇昆仑山中的古格王朝无头洞，陕西的龙岭迷窟……",恐怖·悬疑,,https://www.cnepub.com/162,162,
,七界传说,,心梦无痕,,,,https://www.cnepub.com/173,"　　七界传说是网络写手心梦无痕所著的一本玄幻小说。本书讲述一个天生残缺一魂一魄的少年陆云，无意随父亲入西蜀，得遇一怪人传授十年修真法诀，后得到六千年前，百世先祖所留之神兵，并进入六院中的易园修炼，从而进入一个神奇的世界。随着陆云修为的加深，也渐渐了解到了所谓的七界传说，并从修身界，逐一进入其余六界，展开了一段神奇诡异，别开生面的旅行。,　　千年修真界，流传着五派六院七界之传说。陆云先天残缺，一条逆天之路，夹着几份难忘的爱情与友情，一路之上，历经磨难，可最后的结果，会是什么呢？,　　本书中有相当多的神奇怪异之事，神仙佛道，妖魔鬼怪，邪灵阴魂，百兽齐聚。正与邪，谁对谁错，是与非善恶无常。何为天，何为地，神仙鬼怪谁能看透？",古典仙侠,,https://www.cnepub.com/173,173,
,上帝掷骰子吗——量子物理史话,,曹天元,,,,https://www.cnepub.com/180,  量子力学的发展史是物理学上最激动人心的篇章之一，我们会看到物理大厦在狂风暴雨下轰然坍塌，却又在熊熊烈焰中得到了洗礼和重生。我们会看到最革命的思潮席卷大地，带来了让人惊骇的电闪雷鸣，同时却又展现出震撼人心的美丽。我们会看到科学如何在荆棘和沼泽中艰难地走来，却更加坚定了对胜利的信念……<br/>,科普书籍,,https://www.cnepub.com/180,180,
,驻京办主任1,,王晓方,,,,https://www.cnepub.com/181,　小说通过对东州市政府驻京办主任丁能通的深入刻画，层层揭开驻京办的神秘面纱，塑造了一批以市委副书记李为民为代表具有高尚政治品格和政治智慧的政治家形象。讲述了市长肖鸿林，常务副市长贾朝轩从改革精英蜕变为腐败分子的罪恶过程，生动刻画了深处政治漩涡的丁能通及诡谲圆滑又精明干练的人物性格。全书以驻京办这个鲜为人知的政治平台，用现实主义手法，生动叙述了省市县三级领导干部在改革过程中的艺术形象，新颖独特，鲜活灵动，故事饱满丰沛，文字生动洒脱，情节跌宕起伏，人物复杂逼真，好似一部灵魂的交响乐，给读者留下无尽的思索和艺术震撼。 ,现代·当代,,https://www.cnepub.com/181,181,
,失踪的上清寺,,罗渝,,,,https://www.cnepub.com/198,"　　一个初夏的雨夜，一个叫小敏的上海女孩来到重庆。她遵照父亲遗命，要将一个遗物交给在重庆上清寺出家的叔叔，但上清寺早在上个世纪很久前就消失了。在寻找上清寺的过程中，女孩得到“我”和老曾的帮助，得到了爷爷遗留的藏宝图，三人跟随着十二张藏宝图的指引，解开了一个个谜团。,　　原来，小敏的祖父曾在国民党警察机关承担一项秘密的工作，帮国民党高级官员寻找战乱时间重庆城中的宝藏，国民党战败逃离后，这些宝藏部分被小敏的爷爷用于交换一个无价之宝，部分归还原地却重新取走。,　　历经千险，在故事的最后，小敏才通过爷爷的最后一张宝图显影，了解到爷爷换回的无价之宝是什么东西，也了解到爷爷取走的宝藏派了什么用途，以及爷爷留下藏宝线索的真正用意。,　　全部故事场景，都在重庆各区的老地名和地点展开，组成一部勾勒重庆城市地理和拼贴一段中国历史的精彩体验。通过寻找宝藏为线索，把重庆历史上重大的事件串起来，重点描述抗战时期。也比较清晰的梳理了重庆千年以来的历史和城市变迁状况。,　　风格惊险悬疑，并富有独特的历史、地理趣味。",恐怖·悬疑,,https://www.cnepub.com/198,198,
,德川家康（共十三部）,,山冈庄八,,,,https://www.cnepub.com/200,"　　《德川家康》洋洋五百五十万言，将日本战国中后期织田信长、武田信玄、德川家康、丰臣秀吉等群雄并起的历史苍劲地铺展开来。在这样一个英雄辈出的时代，德川家康最终脱颖而出，结束战国烽烟，开启三百年太平盛世。作品展现了德川家康作为乱世终结者和盛世开创者丰满、曲折、传奇的一生，书中每一行每一页都充满着智慧与杀伐、谋略与权术、天道与玄机！它不仅成为商战兵法、政略宝典、兵家必备，更是不朽的励志传奇。,　　本书历时十八年始得完成，图书出版后，一时洛阳纸贵，掀起极大反响，日本前首相中曾根康弘要求日本内阁成员必读《德川家康》；经营之神、日本松下电器创建人松下幸之助要求松下员工必读《德川家康》；美国前驻日大使赖世和说：“要了解日本、超越日本，必须先了解德川家康。”着名史学家、作家柏杨先生则认为：“中国有两部书的影响力可以和《德川家康》相比，一是《资治通鉴》，一是《三国演义》。”",外国人物传记,,https://www.cnepub.com/200,200,
,卫斯理-地底奇人,,倪匡,,,,https://www.cnepub.com/208,    “地底奇人”这本书，要作相当详细的说明才行。这个故事，当日在明报副刊刊出时，就以“地底奇人”为名。目的，是想写一些中国传统帮会中的奇人，结果，也还是只写成了一个传奇故事。<br/>    这个故事有它的重要性，因为在这个故事中，引出了卫斯理故事中一个极其重要的人物：白素。<br/>    白素在这个故事出场，和卫斯理认识，一直发展下去，到后来，受读者喜爱程度，尤在卫斯理之上了！<br/>    这故事写得相当长，本来想删去一半，可是发现极困难，只好将之分成两半，前一半是“地底奇人”，后一半，索性另外冠以他名，事实上，是上下两册的另一形式。,科幻小说,,https://www.cnepub.com/208,208,
