book_time,book_name,book_chinese,book_author,book_content,book_source,book_size,book_url,book_intro,book_type,book_format,book_download_url,book_id,book_zip_pswd
04月12日 13:58,拉普拉斯的魔女,,,,,0.58 M,http://www.zoudupai.com/note/32406,"《拉普拉斯的魔女》东野圭吾的人性实验室，《恶意》之后，再次跌入极恶的深渊。《解忧杂货店》之后，回归推理之作。在日本上市旋即再版，上市5天，销量突破26万册！看似完美的一切，却潜藏着极度的恶意，从人性深处出发的可怕念头，比致毒的药物更为令人恐惧。恶寒，读完这部小说，余味就是这样两个字。
我想摧毁自己以前写的小说，于是，这部作品就此诞生。——东野圭吾",东野圭吾补漏,mobi,http://www.zoudupai.com/note/32406,32406,
03月18日 18:42,拉普拉斯的魔女,,,,,5.36 M,http://www.zoudupai.com/note/31705,本书是中国美学的经典之作。凝聚了作者李泽厚先生多年研究，他把中国人古往今来对美的感觉玲珑剔透地展现在大家眼前，如斯感性，如斯亲切。今配以精美的插图，本书就更具体地显现出中国这段波澜壮阔的美的历程。,文化艺术,mobi,http://www.zoudupai.com/note/31705,31705,
03月18日 18:40,永恒的终结,,,,,0.66 M,http://www.zoudupai.com/note/31703,《永恒的终结》24世纪，人类发明了时间力场。27世纪，人类在掌握时间旅行技术后，成立了一个叫做永恒时空（Eternity）的组织，在每个时代的背后，默默地守护着人类社会的发展。永恒时空以一个世纪为单位，并视每个世纪的发展需要而加以微调，以避免社会全体受到更大伤害。,小说,mobi,http://www.zoudupai.com/note/31703,31703,
2015:03:17 17:03,突然就走到了西藏,,,,,4.19 M,http://www.zoudupai.com/note/17627,《突然就走到了西藏》陈坤著。这是一本关于行走的书，人生的行走，演艺圈的行走，西藏的行走。在陈坤看来，用脚步去丈量脚下的土地，和用脚步去丈量人生，意义是一样的。陈坤将人生经历比作“行走”，他说，人生如登山，脚步要平缓，有力。是每一个扎实的脚步将他历练成今天的陈坤。,名人小说,mobi,http://www.zoudupai.com/note/17627,17627,
2015:01:18 00:15,枪炮、病菌与钢铁,,,,,0.70 M,http://www.zoudupai.com/note/14950,《枪炮、病菌与钢铁》贾雷德·戴蒙德。本书是理解人类社会发展史方面的一个重大进展，它记录了现代世界及其诸多不平等所以形成的原因，也是一部真正关于全世界各民族的历史，是对人类生活的完整一贯的叙述，娓娓道来，具有很强的可读性。,社会,mobi,http://www.zoudupai.com/note/14950,14950,
2015:01:07 14:32,书虫系列50本珍藏版,,,,,6.09 M,http://www.zoudupai.com/note/13671,《书虫系列50本珍藏版》是外语教学与研究出版社和牛津大学出版社共同奉献给广大英语学习者的一大精品。本书有外语学习·中英对照，书虫在英语中大概是颇可爱的形象，试想想如痴如醉沉迷于书卷，孜孜不倦地咀嚼着字母的那么一只“书虫”……,英语,mobi,http://www.zoudupai.com/note/13671,13671,
01月14日 14:10,超级IP：互联网新物种方法论,,,,,9.72 M,http://www.zoudupai.com/note/29536,《超级IP：互联网新物种方法论》是逻辑思维联合创始人吴声对未来图景的深度思考，深度解构这一移动互联时代新的连接符号和话语体系，帮助企业、品牌、个人迎接IP时代的变革与挑战。,管理,mobi,http://www.zoudupai.com/note/29536,29536,
2014:12:25 19:21,你一生的故事,,,,,0.77 M,http://www.zoudupai.com/note/12755,《你一生的故事》讲述了人类与外星人的交流，着力于最基本的地方：语言。科幻小说界，从来没有人把语言表现得如此细致而富有魅力。在作家笔下，外星人的语言仿佛是有生命的活物。出乎意料、却又早已注定的结局给读者以极大的冲击。,科幻小说,mobi,http://www.zoudupai.com/note/12755,12755,
2016:07:07 18:47,大败局1,,,,,0.91 M,http://www.zoudupai.com/note/25368,《大败局1》是影响中国商业界的二十图书之一。“失败”仅仅是对它们成长过程中某一阶段或某一事件的描述。我祝福它们能够一一地从这个失败的阴影中站起来。而作为局外人和旁观者的我们，则希望用我们的“解剖刀”和“显微镜”从它们各自的败局中提取宝贵的“失败基因”。,经济管理,mobi,http://www.zoudupai.com/note/25368,25368,
2015:01:06 10:58,儿子韩寒,,,,,0.15 M,http://www.zoudupai.com/note/13511,《儿子韩寒》本书从父亲的角度解读韩寒，关于韩寒的成长，关于韩寒现象，关于真实的韩寒以及从“新概念作文”脱颖而出，一直在人们的争议中走到今天的韩寒……你都能从最“权威”的父亲这里找到答案。,名人传记,mobi,http://www.zoudupai.com/note/13511,13511,
2016:02:25 20:35,泡爸百科馆:让孩子着迷的中国地理,,,,,1.33 M,http://www.zoudupai.com/note/23417,《泡爸百科馆:让孩子着迷的中国地理》内容精彩、故事有趣、绘图搞笑。在书中，孩子可以看到到比一般地理百科更多更有趣的故事、领略到不同地域的地理风貌和风土人情。书中泡泡最为质朴、童真的绘图描绘了一个一个与地理知识相关的小笑话。《泡爸百科馆:让孩子着迷的中国地理》为孩子准备了一道的地理,让孩子着迷的中国地理,mobi,http://www.zoudupai.com/note/23417,23417,
03月03日 17:53,雪国,,,,,0.21 M,http://www.zoudupai.com/note/31003,《雪国》以有钱有闲的舞蹈研究者岛村与一位艺妓和一位纯情少女之间的感情纠葛，为读者展现了一种哀怨和冷艳的世界。,文学,mobi,http://www.zoudupai.com/note/31003,31003,
